Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;xy1_x;xy2_x;y3_x;xy4_x;Position X;Position Y;Cluster
1904;District 6 Sigma;Imagination;Exclusive;0709E;"-3168, -400";"-3184, -384";"-3184, -416";"-3152, -416";"-3152, -384";-3168.0000;-400.0000;89
1905;District 6 Sigma;Imagination;Exclusive;0694E;"-3168, 432";"-3184, 416";"-3184, 448";"-3152, 448";"-3152, 416";-3168.0000;432.0000;87
1906;District 6 Sigma;Imagination;Exclusive;0710E;"-3168, -432";"-3184, -416";"-3184, -448";"-3152, -448";"-3152, -416";-3168.0000;-432.0000;89
1907;District 6 Sigma;Imagination;Exclusive;0690E;"-3200, 368";"-3216, 352";"-3216, 384";"-3184, 384";"-3184, 352";-3200.0000;368.0000;87
1908;District 6 Sigma;Imagination;Exclusive;0706E;"-3200, -368";"-3216, -352";"-3216, -384";"-3184, -384";"-3184, -352";-3200.0000;-368.0000;89
1909;District 6 Sigma;Imagination;Exclusive;0695E;"-3200, 432";"-3216, 416";"-3216, 448";"-3184, 448";"-3184, 416";-3200.0000;432.0000;87
1910;District 6 Sigma;Imagination;Exclusive;0711E;"-3200, -432";"-3216, -416";"-3216, -448";"-3184, -448";"-3184, -416";-3200.0000;-432.0000;89
1911;District 6 Sigma;Imagination;Exclusive;0691E;"-3232, 368";"-3248, 352";"-3248, 384";"-3216, 384";"-3216, 352";-3232.0000;368.0000;87
1912;District 6 Sigma;Imagination;Exclusive;0707E;"-3232, -368";"-3248, -352";"-3248, -384";"-3216, -384";"-3216, -352";-3232.0000;-368.0000;89
1913;District 6 Sigma;Imagination;Exclusive;0692E;"-3232, 400";"-3248, 384";"-3248, 416";"-3216, 416";"-3216, 384";-3232.0000;400.0000;87
1914;District 6 Sigma;Imagination;Exclusive;0708E;"-3232, -400";"-3248, -384";"-3248, -416";"-3216, -416";"-3216, -384";-3232.0000;-400.0000;89
1915;District 6 Sigma;Imagination;Exclusive;0696E;"-3232, 432";"-3248, 416";"-3248, 448";"-3216, 448";"-3216, 416";-3232.0000;432.0000;87
1916;District 6 Sigma;Imagination;Exclusive;0712E;"-3232, -432";"-3248, -416";"-3248, -448";"-3216, -448";"-3216, -416";-3232.0000;-432.0000;89
1917;District 6 Sigma;Imagination;Exclusive;0724E;"-3478, 0";"-3462, -16";"-3462, 16";"-3494, 16";"-3494, -16";-3478.0000;0.0000;91
1918;District 6 Sigma;Imagination;Exclusive;0728E;"-3478, 32";"-3462, 16";"-3462, 48";"-3494, 48";"-3494, 16";-3478.0000;32.0000;91
1919;District 6 Sigma;Imagination;Exclusive;0723E;"-3478, -32";"-3462, -48";"-3462, -16";"-3494, -16";"-3494, -48";-3478.0000;-32.0000;91
1920;District 6 Sigma;Imagination;Exclusive;0727E;"-3510, 32";"-3494, 16";"-3494, 48";"-3526, 48";"-3526, 16";-3510.0000;32.0000;91
1921;District 6 Sigma;Imagination;Exclusive;0722E;"-3510, -32";"-3494, -48";"-3494, -16";"-3526, -16";"-3526, -48";-3510.0000;-32.0000;91
1922;District 6 Sigma;Imagination;Exclusive;0725E;"-3542, 0";"-3526, -16";"-3526, 16";"-3558, 16";"-3558, -16";-3542.0000;0.0000;91
1923;District 6 Sigma;Imagination;Exclusive;0726E;"-3542, 32";"-3526, 16";"-3526, 48";"-3558, 48";"-3558, 16";-3542.0000;32.0000;91
1924;District 6 Sigma;Imagination;Exclusive;0721E;"-3542, -32";"-3526, -48";"-3526, -16";"-3558, -16";"-3558, -48";-3542.0000;-32.0000;91
1925;District 6 Sigma;Imagination;Exclusive;0697E;"-4048, 1824";"-4064, 1808";"-4064, 1840";"-4032, 1840";"-4032, 1808";-4048.0000;1824.0000;88
1926;District 6 Sigma;Imagination;Exclusive;0713E;"-4048, -1824";"-4064, -1808";"-4064, -1840";"-4032, -1840";"-4032, -1808";-4048.0000;-1824.0000;90
1927;District 6 Sigma;Imagination;Exclusive;0701E;"-4048, 1856";"-4064, 1840";"-4064, 1872";"-4032, 1872";"-4032, 1840";-4048.0000;1856.0000;88
1928;District 6 Sigma;Imagination;Exclusive;0717E;"-4048, -1856";"-4064, -1840";"-4064, -1872";"-4032, -1872";"-4032, -1840";-4048.0000;-1856.0000;90
1929;District 6 Sigma;Imagination;Exclusive;0702E;"-4048, 1888";"-4064, 1872";"-4064, 1904";"-4032, 1904";"-4032, 1872";-4048.0000;1888.0000;88
1930;District 6 Sigma;Imagination;Exclusive;0718E;"-4048, -1888";"-4064, -1872";"-4064, -1904";"-4032, -1904";"-4032, -1872";-4048.0000;-1888.0000;90
1931;District 6 Sigma;Imagination;Exclusive;0698E;"-4080, 1824";"-4096, 1808";"-4096, 1840";"-4064, 1840";"-4064, 1808";-4080.0000;1824.0000;88
1932;District 6 Sigma;Imagination;Exclusive;0714E;"-4080, -1824";"-4096, -1808";"-4096, -1840";"-4064, -1840";"-4064, -1808";-4080.0000;-1824.0000;90
1933;District 6 Sigma;Imagination;Exclusive;0703E;"-4080, 1888";"-4096, 1872";"-4096, 1904";"-4064, 1904";"-4064, 1872";-4080.0000;1888.0000;88
1934;District 6 Sigma;Imagination;Exclusive;0719E;"-4080, -1888";"-4096, -1872";"-4096, -1904";"-4064, -1904";"-4064, -1872";-4080.0000;-1888.0000;90
1935;District 6 Sigma;Imagination;Exclusive;0699E;"-4112, 1824";"-4128, 1808";"-4128, 1840";"-4096, 1840";"-4096, 1808";-4112.0000;1824.0000;88
1936;District 6 Sigma;Imagination;Exclusive;0715E;"-4112, -1824";"-4128, -1808";"-4128, -1840";"-4096, -1840";"-4096, -1808";-4112.0000;-1824.0000;90
1937;District 6 Sigma;Imagination;Exclusive;0700E;"-4112, 1856";"-4128, 1840";"-4128, 1872";"-4096, 1872";"-4096, 1840";-4112.0000;1856.0000;88
1938;District 6 Sigma;Imagination;Exclusive;0716E;"-4112, -1856";"-4128, -1840";"-4128, -1872";"-4096, -1872";"-4096, -1840";-4112.0000;-1856.0000;90
1939;District 6 Sigma;Imagination;Exclusive;0704E;"-4112, 1888";"-4128, 1872";"-4128, 1904";"-4096, 1904";"-4096, 1872";-4112.0000;1888.0000;88
1940;District 6 Sigma;Imagination;Exclusive;0720E;"-4112, -1888";"-4128, -1872";"-4128, -1904";"-4096, -1904";"-4096, -1872";-4112.0000;-1888.0000;90
1941;District 6 Sigma;Imagination;Exclusive;0731E;"-4768, 754";"-4752, 738";"-4752, 770";"-4784, 770";"-4784, 738";-4768.0000;754.0000;92
1942;District 6 Sigma;Imagination;Exclusive;0747E;"-4768, -754";"-4752, -738";"-4752, -770";"-4784, -770";"-4784, -738";-4768.0000;-754.0000;94
1943;District 6 Sigma;Imagination;Exclusive;0732E;"-4768, 786";"-4752, 770";"-4752, 802";"-4784, 802";"-4784, 770";-4768.0000;786.0000;92
1944;District 6 Sigma;Imagination;Exclusive;0748E;"-4768, -786";"-4752, -770";"-4752, -802";"-4784, -802";"-4784, -770";-4768.0000;-786.0000;94
1945;District 6 Sigma;Imagination;Exclusive;0736E;"-4768, 818";"-4752, 802";"-4752, 834";"-4784, 834";"-4784, 802";-4768.0000;818.0000;92
1946;District 6 Sigma;Imagination;Exclusive;0752E;"-4768, -818";"-4752, -802";"-4752, -834";"-4784, -834";"-4784, -802";-4768.0000;-818.0000;94
1947;District 6 Sigma;Imagination;Exclusive;0730E;"-4800, 754";"-4784, 738";"-4784, 770";"-4816, 770";"-4816, 738";-4800.0000;754.0000;92
1948;District 6 Sigma;Imagination;Exclusive;0746E;"-4800, -754";"-4784, -738";"-4784, -770";"-4816, -770";"-4816, -738";-4800.0000;-754.0000;94
1949;District 6 Sigma;Imagination;Exclusive;0735E;"-4800, 818";"-4784, 802";"-4784, 834";"-4816, 834";"-4816, 802";-4800.0000;818.0000;92
1950;District 6 Sigma;Imagination;Exclusive;0751E;"-4800, -818";"-4784, -802";"-4784, -834";"-4816, -834";"-4816, -802";-4800.0000;-818.0000;94
1951;District 6 Sigma;Imagination;Exclusive;0729E;"-4832, 754";"-4816, 738";"-4816, 770";"-4848, 770";"-4848, 738";-4832.0000;754.0000;92
1952;District 6 Sigma;Imagination;Exclusive;0745E;"-4832, -754";"-4816, -738";"-4816, -770";"-4848, -770";"-4848, -738";-4832.0000;-754.0000;94
1953;District 6 Sigma;Imagination;Exclusive;0733E;"-4832, 786";"-4816, 770";"-4816, 802";"-4848, 802";"-4848, 770";-4832.0000;786.0000;92
1954;District 6 Sigma;Imagination;Exclusive;0749E;"-4832, -786";"-4816, -770";"-4816, -802";"-4848, -802";"-4848, -770";-4832.0000;-786.0000;94
1955;District 6 Sigma;Imagination;Exclusive;0734E;"-4832, 818";"-4816, 802";"-4816, 834";"-4848, 834";"-4848, 802";-4832.0000;818.0000;92
1956;District 6 Sigma;Imagination;Exclusive;0750E;"-4832, -818";"-4816, -802";"-4816, -834";"-4848, -834";"-4848, -802";-4832.0000;-818.0000;94
1957;District 6 Sigma;Imagination;Exclusive;0737E;"-6368, 752";"-6384, 736";"-6384, 768";"-6352, 768";"-6352, 736";-6368.0000;752.0000;93
1958;District 6 Sigma;Imagination;Exclusive;0753E;"-6368, -752";"-6384, -736";"-6384, -768";"-6352, -768";"-6352, -736";-6368.0000;-752.0000;95
1959;District 6 Sigma;Imagination;Exclusive;0741E;"-6368, 784";"-6384, 768";"-6384, 800";"-6352, 800";"-6352, 768";-6368.0000;784.0000;93
1960;District 6 Sigma;Imagination;Exclusive;0757E;"-6368, -784";"-6384, -768";"-6384, -800";"-6352, -800";"-6352, -768";-6368.0000;-784.0000;95
1961;District 6 Sigma;Imagination;Exclusive;0742E;"-6368, 816";"-6384, 800";"-6384, 832";"-6352, 832";"-6352, 800";-6368.0000;816.0000;93
1962;District 6 Sigma;Imagination;Exclusive;0758E;"-6368, -816";"-6384, -800";"-6384, -832";"-6352, -832";"-6352, -800";-6368.0000;-816.0000;95
1963;District 6 Sigma;Imagination;Exclusive;0738E;"-6400, 752";"-6416, 736";"-6416, 768";"-6384, 768";"-6384, 736";-6400.0000;752.0000;93
1964;District 6 Sigma;Imagination;Exclusive;0754E;"-6400, -752";"-6416, -736";"-6416, -768";"-6384, -768";"-6384, -736";-6400.0000;-752.0000;95
1965;District 6 Sigma;Imagination;Exclusive;0743E;"-6400, 816";"-6416, 800";"-6416, 832";"-6384, 832";"-6384, 800";-6400.0000;816.0000;93
1966;District 6 Sigma;Imagination;Exclusive;0759E;"-6400, -816";"-6416, -800";"-6416, -832";"-6384, -832";"-6384, -800";-6400.0000;-816.0000;95
1967;District 6 Sigma;Imagination;Exclusive;0739E;"-6432, 752";"-6448, 736";"-6448, 768";"-6416, 768";"-6416, 736";-6432.0000;752.0000;93
1968;District 6 Sigma;Imagination;Exclusive;0755E;"-6432, -752";"-6448, -736";"-6448, -768";"-6416, -768";"-6416, -736";-6432.0000;-752.0000;95
1969;District 6 Sigma;Imagination;Exclusive;0740E;"-6432, 784";"-6448, 768";"-6448, 800";"-6416, 800";"-6416, 768";-6432.0000;784.0000;93
1970;District 6 Sigma;Imagination;Exclusive;0756E;"-6432, -784";"-6448, -768";"-6448, -800";"-6416, -800";"-6416, -768";-6432.0000;-784.0000;95
1971;District 6 Sigma;Imagination;Exclusive;0744E;"-6432, 816";"-6448, 800";"-6448, 832";"-6416, 832";"-6416, 800";-6432.0000;816.0000;93
1972;District 6 Sigma;Imagination;Exclusive;0760E;"-6432, -816";"-6448, -800";"-6448, -832";"-6416, -832";"-6416, -800";-6432.0000;-816.0000;95
1973;District 6 Sigma;Imagination;Exclusive;0779E;"-7088, 1824";"-7072, 1808";"-7072, 1840";"-7104, 1840";"-7104, 1808";-7088.0000;1824.0000;98
1974;District 6 Sigma;Imagination;Exclusive;0683E;"-7088, -1824";"-7072, -1808";"-7072, -1840";"-7104, -1840";"-7104, -1808";-7088.0000;-1824.0000;86
1975;District 6 Sigma;Imagination;Exclusive;0780E;"-7088, 1856";"-7072, 1840";"-7072, 1872";"-7104, 1872";"-7104, 1840";-7088.0000;1856.0000;98
1976;District 6 Sigma;Imagination;Exclusive;0684E;"-7088, -1856";"-7072, -1840";"-7072, -1872";"-7104, -1872";"-7104, -1840";-7088.0000;-1856.0000;86
1977;District 6 Sigma;Imagination;Exclusive;0784E;"-7088, 1888";"-7072, 1872";"-7072, 1904";"-7104, 1904";"-7104, 1872";-7088.0000;1888.0000;98
1978;District 6 Sigma;Imagination;Exclusive;0688E;"-7088, -1888";"-7072, -1872";"-7072, -1904";"-7104, -1904";"-7104, -1872";-7088.0000;-1888.0000;86
1979;District 6 Sigma;Imagination;Exclusive;0778E;"-7120, 1824";"-7104, 1808";"-7104, 1840";"-7136, 1840";"-7136, 1808";-7120.0000;1824.0000;98
1980;District 6 Sigma;Imagination;Exclusive;0682E;"-7120, -1824";"-7104, -1808";"-7104, -1840";"-7136, -1840";"-7136, -1808";-7120.0000;-1824.0000;86
1981;District 6 Sigma;Imagination;Exclusive;0783E;"-7120, 1888";"-7104, 1872";"-7104, 1904";"-7136, 1904";"-7136, 1872";-7120.0000;1888.0000;98
1982;District 6 Sigma;Imagination;Exclusive;0687E;"-7120, -1888";"-7104, -1872";"-7104, -1904";"-7136, -1904";"-7136, -1872";-7120.0000;-1888.0000;86
1983;District 6 Sigma;Imagination;Exclusive;0777E;"-7152, 1824";"-7136, 1808";"-7136, 1840";"-7168, 1840";"-7168, 1808";-7152.0000;1824.0000;98
1984;District 6 Sigma;Imagination;Exclusive;0681E;"-7152, -1824";"-7136, -1808";"-7136, -1840";"-7168, -1840";"-7168, -1808";-7152.0000;-1824.0000;86
1985;District 6 Sigma;Imagination;Exclusive;0781E;"-7152, 1856";"-7136, 1840";"-7136, 1872";"-7168, 1872";"-7168, 1840";-7152.0000;1856.0000;98
1986;District 6 Sigma;Imagination;Exclusive;0685E;"-7152, -1856";"-7136, -1840";"-7136, -1872";"-7168, -1872";"-7168, -1840";-7152.0000;-1856.0000;86
1987;District 6 Sigma;Imagination;Exclusive;0782E;"-7152, 1888";"-7136, 1872";"-7136, 1904";"-7168, 1904";"-7168, 1872";-7152.0000;1888.0000;98
1988;District 6 Sigma;Imagination;Exclusive;0686E;"-7152, -1888";"-7136, -1872";"-7136, -1904";"-7168, -1904";"-7168, -1872";-7152.0000;-1888.0000;86
1989;District 6 Sigma;Imagination;Exclusive;0765E;"-7658, 0";"-7674, -16";"-7674, 16";"-7642, 16";"-7642, -16";-7658.0000;0.0000;96
1990;District 6 Sigma;Imagination;Exclusive;0766E;"-7658, 32";"-7674, 16";"-7674, 48";"-7642, 48";"-7642, 16";-7658.0000;32.0000;96
1991;District 6 Sigma;Imagination;Exclusive;0761E;"-7658, -32";"-7674, -48";"-7674, -16";"-7642, -16";"-7642, -48";-7658.0000;-32.0000;96
1992;District 6 Sigma;Imagination;Exclusive;0767E;"-7690, 32";"-7706, 16";"-7706, 48";"-7674, 48";"-7674, 16";-7690.0000;32.0000;96
1993;District 6 Sigma;Imagination;Exclusive;0762E;"-7690, -32";"-7706, -48";"-7706, -16";"-7674, -16";"-7674, -48";-7690.0000;-32.0000;96
1994;District 6 Sigma;Imagination;Exclusive;0764E;"-7722, 0";"-7738, -16";"-7738, 16";"-7706, 16";"-7706, -16";-7722.0000;0.0000;96
1995;District 6 Sigma;Imagination;Exclusive;0768E;"-7722, 32";"-7738, 16";"-7738, 48";"-7706, 48";"-7706, 16";-7722.0000;32.0000;96
1996;District 6 Sigma;Imagination;Exclusive;0763E;"-7722, -32";"-7738, -48";"-7738, -16";"-7706, -16";"-7706, -48";-7722.0000;-32.0000;96
1997;District 6 Sigma;Imagination;Exclusive;0771E;"-7968, 368";"-7952, 352";"-7952, 384";"-7984, 384";"-7984, 352";-7968.0000;368.0000;97
1998;District 6 Sigma;Imagination;Exclusive;0675E;"-7968, -368";"-7952, -352";"-7952, -384";"-7984, -384";"-7984, -352";-7968.0000;-368.0000;85
1999;District 6 Sigma;Imagination;Exclusive;0772E;"-7968, 400";"-7952, 384";"-7952, 416";"-7984, 416";"-7984, 384";-7968.0000;400.0000;97
2000;District 6 Sigma;Imagination;Exclusive;0676E;"-7968, -400";"-7952, -384";"-7952, -416";"-7984, -416";"-7984, -384";-7968.0000;-400.0000;85
2001;District 6 Sigma;Imagination;Exclusive;0776E;"-7968, 432";"-7952, 416";"-7952, 448";"-7984, 448";"-7984, 416";-7968.0000;432.0000;97
2002;District 6 Sigma;Imagination;Exclusive;0680E;"-7968, -432";"-7952, -416";"-7952, -448";"-7984, -448";"-7984, -416";-7968.0000;-432.0000;85
2003;District 6 Sigma;Imagination;Exclusive;0770E;"-8000, 368";"-7984, 352";"-7984, 384";"-8016, 384";"-8016, 352";-8000.0000;368.0000;97
2004;District 6 Sigma;Imagination;Exclusive;0674E;"-8000, -368";"-7984, -352";"-7984, -384";"-8016, -384";"-8016, -352";-8000.0000;-368.0000;85
2005;District 6 Sigma;Imagination;Exclusive;0775E;"-8000, 432";"-7984, 416";"-7984, 448";"-8016, 448";"-8016, 416";-8000.0000;432.0000;97
2006;District 6 Sigma;Imagination;Exclusive;0679E;"-8000, -432";"-7984, -416";"-7984, -448";"-8016, -448";"-8016, -416";-8000.0000;-432.0000;85
2007;District 6 Sigma;Imagination;Exclusive;0769E;"-8032, 368";"-8016, 352";"-8016, 384";"-8048, 384";"-8048, 352";-8032.0000;368.0000;97
2008;District 6 Sigma;Imagination;Exclusive;0673E;"-8032, -368";"-8016, -352";"-8016, -384";"-8048, -384";"-8048, -352";-8032.0000;-368.0000;85
2009;District 6 Sigma;Imagination;Exclusive;0773E;"-8032, 400";"-8016, 384";"-8016, 416";"-8048, 416";"-8048, 384";-8032.0000;400.0000;97
2010;District 6 Sigma;Imagination;Exclusive;0677E;"-8032, -400";"-8016, -384";"-8016, -416";"-8048, -416";"-8048, -384";-8032.0000;-400.0000;85
2011;District 6 Sigma;Imagination;Exclusive;0774E;"-8032, 432";"-8016, 416";"-8016, 448";"-8048, 448";"-8048, 416";-8032.0000;432.0000;97
2012;District 6 Sigma;Imagination;Exclusive;0678E;"-8032, -432";"-8016, -416";"-8016, -448";"-8048, -448";"-8048, -416";-8032.0000;-432.0000;85
2239;District 7 Kappa;Community;Exclusive;0806E;"-1728, -3792";"-1744, -3808";"-1744, -3776";"-1712, -3776";"-1712, -3808";-1728.0000;-3792.0000;101
2240;District 7 Kappa;Community;Exclusive;0805E;"-1728, -3824";"-1744, -3840";"-1744, -3808";"-1712, -3808";"-1712, -3840";-1728.0000;-3824.0000;101
2241;District 7 Kappa;Community;Exclusive;0801E;"-1728, -3856";"-1744, -3872";"-1744, -3840";"-1712, -3840";"-1712, -3872";-1728.0000;-3856.0000;101
2242;District 7 Kappa;Community;Exclusive;0849E;"-1728, -6064";"-1744, -6048";"-1744, -6080";"-1712, -6080";"-1712, -6048";-1728.0000;-6064.0000;107
2243;District 7 Kappa;Community;Exclusive;0853E;"-1728, -6096";"-1744, -6080";"-1744, -6112";"-1712, -6112";"-1712, -6080";-1728.0000;-6096.0000;107
2244;District 7 Kappa;Community;Exclusive;0854E;"-1728, -6128";"-1744, -6112";"-1744, -6144";"-1712, -6144";"-1712, -6112";-1728.0000;-6128.0000;107
2245;District 7 Kappa;Community;Exclusive;0807E;"-1760, -3792";"-1776, -3808";"-1776, -3776";"-1744, -3776";"-1744, -3808";-1760.0000;-3792.0000;101
2246;District 7 Kappa;Community;Exclusive;0802E;"-1760, -3856";"-1776, -3872";"-1776, -3840";"-1744, -3840";"-1744, -3872";-1760.0000;-3856.0000;101
2247;District 7 Kappa;Community;Exclusive;0850E;"-1760, -6064";"-1776, -6048";"-1776, -6080";"-1744, -6080";"-1744, -6048";-1760.0000;-6064.0000;107
2248;District 7 Kappa;Community;Exclusive;0855E;"-1760, -6128";"-1776, -6112";"-1776, -6144";"-1744, -6144";"-1744, -6112";-1760.0000;-6128.0000;107
2249;District 7 Kappa;Community;Exclusive;0808E;"-1792, -3792";"-1808, -3808";"-1808, -3776";"-1776, -3776";"-1776, -3808";-1792.0000;-3792.0000;101
2250;District 7 Kappa;Community;Exclusive;0804E;"-1792, -3824";"-1808, -3840";"-1808, -3808";"-1776, -3808";"-1776, -3840";-1792.0000;-3824.0000;101
2251;District 7 Kappa;Community;Exclusive;0803E;"-1792, -3856";"-1808, -3872";"-1808, -3840";"-1776, -3840";"-1776, -3872";-1792.0000;-3856.0000;101
2252;District 7 Kappa;Community;Exclusive;0851E;"-1792, -6064";"-1808, -6048";"-1808, -6080";"-1776, -6080";"-1776, -6048";-1792.0000;-6064.0000;107
2253;District 7 Kappa;Community;Exclusive;0852E;"-1792, -6096";"-1808, -6080";"-1808, -6112";"-1776, -6112";"-1776, -6080";-1792.0000;-6096.0000;107
2254;District 7 Kappa;Community;Exclusive;0856E;"-1792, -6128";"-1808, -6112";"-1808, -6144";"-1776, -6144";"-1776, -6112";-1792.0000;-6128.0000;107
2255;District 7 Kappa;Community;Exclusive;0896E;"-2048, -4144";"-2032, -4160";"-2032, -4128";"-2064, -4128";"-2064, -4160";-2048.0000;-4144.0000;112
2256;District 7 Kappa;Community;Exclusive;0892E;"-2048, -4176";"-2032, -4192";"-2032, -4160";"-2064, -4160";"-2064, -4192";-2048.0000;-4176.0000;112
2257;District 7 Kappa;Community;Exclusive;0891E;"-2048, -4208";"-2032, -4224";"-2032, -4192";"-2064, -4192";"-2064, -4224";-2048.0000;-4208.0000;112
2258;District 7 Kappa;Community;Exclusive;0875E;"-2048, -5712";"-2032, -5696";"-2032, -5728";"-2064, -5728";"-2064, -5696";-2048.0000;-5712.0000;110
2259;District 7 Kappa;Community;Exclusive;0876E;"-2048, -5744";"-2032, -5728";"-2032, -5760";"-2064, -5760";"-2064, -5728";-2048.0000;-5744.0000;110
2260;District 7 Kappa;Community;Exclusive;0880E;"-2048, -5776";"-2032, -5760";"-2032, -5792";"-2064, -5792";"-2064, -5760";-2048.0000;-5776.0000;110
2261;District 7 Kappa;Community;Exclusive;0895E;"-2080, -4144";"-2064, -4160";"-2064, -4128";"-2096, -4128";"-2096, -4160";-2080.0000;-4144.0000;112
2262;District 7 Kappa;Community;Exclusive;0890E;"-2080, -4208";"-2064, -4224";"-2064, -4192";"-2096, -4192";"-2096, -4224";-2080.0000;-4208.0000;112
2263;District 7 Kappa;Community;Exclusive;0874E;"-2080, -5712";"-2064, -5696";"-2064, -5728";"-2096, -5728";"-2096, -5696";-2080.0000;-5712.0000;110
2264;District 7 Kappa;Community;Exclusive;0879E;"-2080, -5776";"-2064, -5760";"-2064, -5792";"-2096, -5792";"-2096, -5760";-2080.0000;-5776.0000;110
2265;District 7 Kappa;Community;Exclusive;0894E;"-2112, -4144";"-2096, -4160";"-2096, -4128";"-2128, -4128";"-2128, -4160";-2112.0000;-4144.0000;112
2266;District 7 Kappa;Community;Exclusive;0893E;"-2112, -4176";"-2096, -4192";"-2096, -4160";"-2128, -4160";"-2128, -4192";-2112.0000;-4176.0000;112
2267;District 7 Kappa;Community;Exclusive;0889E;"-2112, -4208";"-2096, -4224";"-2096, -4192";"-2128, -4192";"-2128, -4224";-2112.0000;-4208.0000;112
2268;District 7 Kappa;Community;Exclusive;0873E;"-2112, -5712";"-2096, -5696";"-2096, -5728";"-2128, -5728";"-2128, -5696";-2112.0000;-5712.0000;110
2269;District 7 Kappa;Community;Exclusive;0877E;"-2112, -5744";"-2096, -5728";"-2096, -5760";"-2128, -5760";"-2128, -5728";-2112.0000;-5744.0000;110
2270;District 7 Kappa;Community;Exclusive;0878E;"-2112, -5776";"-2096, -5760";"-2096, -5792";"-2128, -5792";"-2128, -5760";-2112.0000;-5776.0000;110
2271;District 7 Kappa;Community;Exclusive;0814E;"-2608, -2336";"-2624, -2352";"-2624, -2320";"-2592, -2320";"-2592, -2352";-2608.0000;-2336.0000;102
2272;District 7 Kappa;Community;Exclusive;0813E;"-2608, -2368";"-2624, -2384";"-2624, -2352";"-2592, -2352";"-2592, -2384";-2608.0000;-2368.0000;102
2273;District 7 Kappa;Community;Exclusive;0809E;"-2608, -2400";"-2624, -2416";"-2624, -2384";"-2592, -2384";"-2592, -2416";-2608.0000;-2400.0000;102
2274;District 7 Kappa;Community;Exclusive;0857E;"-2608, -7520";"-2624, -7504";"-2624, -7536";"-2592, -7536";"-2592, -7504";-2608.0000;-7520.0000;108
2275;District 7 Kappa;Community;Exclusive;0861E;"-2608, -7552";"-2624, -7536";"-2624, -7568";"-2592, -7568";"-2592, -7536";-2608.0000;-7552.0000;108
2276;District 7 Kappa;Community;Exclusive;0862E;"-2608, -7584";"-2624, -7568";"-2624, -7600";"-2592, -7600";"-2592, -7568";-2608.0000;-7584.0000;108
2277;District 7 Kappa;Community;Exclusive;0815E;"-2640, -2336";"-2656, -2352";"-2656, -2320";"-2624, -2320";"-2624, -2352";-2640.0000;-2336.0000;102
2278;District 7 Kappa;Community;Exclusive;0810E;"-2640, -2400";"-2656, -2416";"-2656, -2384";"-2624, -2384";"-2624, -2416";-2640.0000;-2400.0000;102
2279;District 7 Kappa;Community;Exclusive;0858E;"-2640, -7520";"-2656, -7504";"-2656, -7536";"-2624, -7536";"-2624, -7504";-2640.0000;-7520.0000;108
2280;District 7 Kappa;Community;Exclusive;0863E;"-2640, -7584";"-2656, -7568";"-2656, -7600";"-2624, -7600";"-2624, -7568";-2640.0000;-7584.0000;108
2281;District 7 Kappa;Community;Exclusive;0816E;"-2672, -2336";"-2688, -2352";"-2688, -2320";"-2656, -2320";"-2656, -2352";-2672.0000;-2336.0000;102
2282;District 7 Kappa;Community;Exclusive;0812E;"-2672, -2368";"-2688, -2384";"-2688, -2352";"-2656, -2352";"-2656, -2384";-2672.0000;-2368.0000;102
2283;District 7 Kappa;Community;Exclusive;0811E;"-2672, -2400";"-2688, -2416";"-2688, -2384";"-2656, -2384";"-2656, -2416";-2672.0000;-2400.0000;102
2284;District 7 Kappa;Community;Exclusive;0859E;"-2672, -7520";"-2688, -7504";"-2688, -7536";"-2656, -7536";"-2656, -7504";-2672.0000;-7520.0000;108
2285;District 7 Kappa;Community;Exclusive;0860E;"-2672, -7552";"-2688, -7536";"-2688, -7568";"-2656, -7568";"-2656, -7536";-2672.0000;-7552.0000;108
2286;District 7 Kappa;Community;Exclusive;0864E;"-2672, -7584";"-2688, -7568";"-2688, -7600";"-2656, -7600";"-2656, -7568";-2672.0000;-7584.0000;108
2287;District 7 Kappa;Community;Exclusive;0832E;"-3088, -2336";"-3072, -2352";"-3072, -2320";"-3104, -2320";"-3104, -2352";-3088.0000;-2336.0000;104
2288;District 7 Kappa;Community;Exclusive;0828E;"-3088, -2368";"-3072, -2384";"-3072, -2352";"-3104, -2352";"-3104, -2384";-3088.0000;-2368.0000;104
2289;District 7 Kappa;Community;Exclusive;0827E;"-3088, -2400";"-3072, -2416";"-3072, -2384";"-3104, -2384";"-3104, -2416";-3088.0000;-2400.0000;104
2290;District 7 Kappa;Community;Exclusive;0843E;"-3088, -7520";"-3072, -7504";"-3072, -7536";"-3104, -7536";"-3104, -7504";-3088.0000;-7520.0000;106
2291;District 7 Kappa;Community;Exclusive;0844E;"-3088, -7552";"-3072, -7536";"-3072, -7568";"-3104, -7568";"-3104, -7536";-3088.0000;-7552.0000;106
2292;District 7 Kappa;Community;Exclusive;0848E;"-3088, -7584";"-3072, -7568";"-3072, -7600";"-3104, -7600";"-3104, -7568";-3088.0000;-7584.0000;106
2293;District 7 Kappa;Community;Exclusive;0831E;"-3120, -2336";"-3104, -2352";"-3104, -2320";"-3136, -2320";"-3136, -2352";-3120.0000;-2336.0000;104
2294;District 7 Kappa;Community;Exclusive;0826E;"-3120, -2400";"-3104, -2416";"-3104, -2384";"-3136, -2384";"-3136, -2416";-3120.0000;-2400.0000;104
